country,quantity
Netherlands,200937
EIRE,140383
Germany,119156
France,111429
Australia,84199
Sweden,36078
Switzerland,30083
Spain,27944
Japan,26016
Belgium,23237
Norway,19338
Portugal,16095
Finland,10704
Channel Islands,9485
Denmark,8235
Italy,8112
Cyprus,6340
Singapore,5241
Austria,4881
Israel,4043
Poland,3684
Canada,2763
Iceland,2458
USA,2458
Unspecified,1785
Greece,1557
United Arab Emirates,982
Malta,970
Czech Republic,671
Lithuania,652
European Community,499
Lebanon,386
Brazil,356
RSA,352
Bahrain,260
Saudi Arabia,80
